bobby	0.03 88.556 0.096 0.266 2.052
2050_2416	0.174 0.094 0.014 0.036 20.682
3054_2913	0.004 0 4.94 0.014 0.042
alice	0.036 103.626 0.022 0.314 0.002
festivities	0.028 0.262 1.79 40.606 0.314
busses	0.026 1.856 0.036 0.032 4.05
steps	0.036 90.656 0.024 0.132 49.152
toros	0.092 89.83 0.008 0.004 0.066
1681_1927	0.632 0.36 0.962 0.48 0.566
bife	0.012 0.912 0.662 1.272 0.142
attorney	1.872 3.152 40.902 0.028 0.046
right	412.468 44.862 745.872 0.092 484.706
old	97.824 893.916 309.128 215.76 296.372
creek	0.002 140.9 0.05 0.034 0.014
people	749.444 22.772 817.476 0.01 454.298
1303_356	61.936 1.872 41.166 2.11 0.916
rainstorms	0.076 0.234 0.306 0.242 0.142
fuuuuck	0.062 0.248 0.31 0.214 0.166
flux	0.032 3.752 8.202 0.008 0.006
creative	95.324 51.106 0.244 0.17 0.156
witty	0.162 3.966 3.094 1.736 0.042
1156_1290	0 0.162 1.358 0.292 0.188
shakes	0.228 42.408 0.146 0.204 0.014
barcode	0.768 31.866 0.176 0.094 0.096
1856_1355	0.01 0.982 1.418 0.16 0.43
mediocrity	0.034 1.946 1.404 0.116 1.5
2117_30	0.008 34.244 0.598 0.084 0.066
shaken	0.022 0.604 0.01 4.856 1.508
demarest	0.046 0.014 0.1 25.782 0.058
citizens	0.036 0.44 82.418 0.1 0.006
63_1838	0.15 0.324 0.664 0.54 0.322
1298_1299	0.012 2.83 5.414 0.04 0.704
2510_1290	0.074 0.29 0.298 0.184 0.154
soo	0.362 31.49 0.06 37.094 5.994
2400_2399	0.034 36.346 0.93 0.038 1.652
30_2050	0.854 63.96 0.248 3.228 0.71
sox	0.036 62.764 0.916 6.142 0.142
soon	0.192 266.98 2.314 0.06 318.454
18_1806	0.098 0.05 26.312 0.052 19.488
18_1804	0.07 1.85 0.22 6.848 0.012
18_1800	0.032 7.518 1.418 0.012 0.02
waits	0.006 0.188 2.246 2.022 3.538
1058_210	0.068 0.27 0.306 0.22 0.136
dizzfyfizz	0.062 0.244 0.304 0.232 0.158
wordpress	0.338 1.542 13.954 0.002 0.164
2688	0.228 385.148 619.7 502.466 456.458
happy	28.82 537.248 1910.46 1.64 773.834
1247_2085	0.016 0.178 1.554 0.094 0.158
melanie	0.008 3.454 2.812 0.884 0.842
breuvage	0.07 0.258 0.294 0.228 0.15
2185	0.038 11.836 0.114 0 0.012
palmetto	0.082 0.066 0.014 0.08 24.758
1800_150	0.006 0.506 1.302 1.1 0.086
2141_1041	0 0.672 1.026 0.112 0.19
inside	13.234 91.882 0.1 1.992 124.792
168_1303	0.022 17.048 3.916 1.996 0.018
saju	0.42 0.374 0.25 0.48 0.476
palm	0.05 0.01 74.792 0.036 46.112
passenger	0.168 0.122 0.026 0.556 18.128
152	0.094 1.164 38.164 59.56 0.018
2199_826	0.072 0.208 0.306 0.266 0.148
1241_2117	17.986 7.478 0.014 2.516 0.006
bourdain	0.042 1.798 0.042 13.06 0.058
1130_971	0.06 0.254 0.312 0.22 0.154
3025_3124	0.08 0.228 0.29 0.24 0.162
164_143	0.076 0.266 0.296 0.198 0.164
protested	0.222 0.614 0.326 0.492 0.346
2471_2471	0.008 1.098 1.774 1.12 0
floor	966.512 0.154 128.274 0.048 0.012
slammin	5.686 22.532 0.326 13.432 0.024
1792_63	0.25 0.814 0.048 0.354 32.534
obao	7.54 1.236 0.086 0.076 0.062
344_356	0.012 0.008 94.094 127.214 0.672
